title	slug	prob	cap
哈梅内伊在3月31日前离任？	khamenei-out-as-supreme-leader-of-iran-by-march-31	100.0%	$63.2M
美国或以色列在3月1日打击伊朗？	will-us-or-israel-strike-iran-on-march-1-2026	100.0%	$1.5M
伊朗现政权在6月30日前倒台？	will-the-iranian-regime-fall-by-june-30	21.5%	$13.1M
伊朗现政权在2027年前倒台？	will-the-iranian-regime-fall-by-the-end-of-2026	34.5%	$9.0M
伊朗在3月31日前关闭霍尔木兹海峡？	will-iran-close-the-strait-of-hormuz-by-march-31	97.8%	$23.1M
2027年前达成美伊核协议？	us-iran-nuclear-deal-before-2027	45.5%	$356.9K
2027年前美国入侵伊朗？	will-the-us-invade-iran-before-2027	27.5%	$549.9K
